UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2012,12,1,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2012,12,5,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2012,12,7,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2012,12,2,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Physical,Horizon,BOOK,2012,12,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Physical,Horizon,BOOK,2012,12,1,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Physical,Horizon,BOOK,2012,12,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Digital,OverDrive,AUDIOBOOK,2012,12,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2012,12,1,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2012,12,1,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Physical,Horizon,BOOK,2013,1,1,"Little man, little man : a story of childhood / by James Baldwin ; illustrated by Yoran Cazac.",,"Baldwin, James, 1924-1987","African Americans Juvenile fiction, Harlem New York N Y Juvenile fiction","Dial Press,",[c1976]
Physical,Horizon,BOOK,2013,1,4,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2013,1,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Digital,OverDrive,AUDIOBOOK,2013,1,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2013,1,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Physical,Horizon,BOOK,2013,1,2,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2013,1,1,Early novels and stories / James Baldwin.,,"Baldwin, James, 1924-1987",,"Library of America,",1998.
Physical,Horizon,BOOK,2013,1,9,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2013,1,3,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2013,1,2,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2013,1,2,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2013,1,1,Jimmy's blues : selected poems / James Baldwin.,,"Baldwin, James, 1924-1987",,"St. Martin's Press,",c1985.
Physical,Horizon,BOOK,2013,1,4,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Digital,OverDrive,EBOOK,2013,1,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2013,1,1,Native Sons: A Friendship That Created One of the Greatest Works of the 20th Century: Notes of a Native Son,,James Baldwin,"Biography & Autobiography, Nonfiction","Random House, Inc.",2012
Physical,Horizon,BOOK,2013,1,1,Blues for Mister Charlie : a play / by James Baldwin.,,"Baldwin, James, 1924-1987",Racism United States Drama,"Vintage International,",1995.
Physical,Horizon,BOOK,2013,1,5,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2013,1,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2013,2,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Physical,Horizon,BOOK,2013,2,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Digital,OverDrive,AUDIOBOOK,2013,2,1,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
Digital,OverDrive,AUDIOBOOK,2013,2,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2013,2,2,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2013,2,1,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Physical,Horizon,BOOK,2013,2,10,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2013,2,3,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2013,2,6,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2013,2,1,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Digital,OverDrive,EBOOK,2013,2,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2013,2,1,"The price of the ticket : collected nonfiction, 1948-1985 / James Baldwin.",,"Baldwin, James, 1924-1987",,"St. Martin's/Marek,",c1985.
Physical,Horizon,BOOK,2013,2,2,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2013,2,6,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2013,2,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2013,2,5,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2013,3,4,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Digital,OverDrive,AUDIOBOOK,2013,3,2,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2013,3,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2013,3,1,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2013,3,1,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Physical,Horizon,BOOK,2013,3,3,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2013,3,2,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2013,3,3,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2013,3,8,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Digital,OverDrive,EBOOK,2013,3,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2013,3,4,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2013,3,2,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Digital,OverDrive,AUDIOBOOK,2013,3,1,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Physical,Horizon,BOOK,2013,3,1,Native sons : a friendship that created one of the greatest works of the twentieth century : notes of a native son / James Baldwin and Sol Stein.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987 Correspondence, Baldwin James 1924 1987 Friends and associates, Authors American 20th century Correspondence, African American authors Correspondence, Stein Sol Friends and associates, Stein Sol Correspondence, Authorship Collaboration","One World,",2004.
Physical,Horizon,BOOK,2013,3,1,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2013,3,3,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Digital,OverDrive,AUDIOBOOK,2013,3,1,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2013,3,1,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Physical,Horizon,BOOK,2013,3,1,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2013,3,1,"The price of the ticket : collected nonfiction, 1948-1985 / James Baldwin.",,"Baldwin, James, 1924-1987",,"St. Martin's/Marek,",c1985.
