UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2017,7,1,Notes of a native son.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations",Beacon Press,[1955]
Digital,OverDrive,EBOOK,2017,7,3,If Beale Street Could Talk,,James Baldwin,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2017,7,7,Giovanni's Room (Unabridged),,James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2017,7,11,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Vintage International,",2013.
Physical,Horizon,BOOK,2017,7,2,Blues for Mister Charlie : a play / by James Baldwin.,,"Baldwin, James, 1924-1987",Racism United States Drama,"Vintage International,",1995.
Digital,OverDrive,AUDIOBOOK,2017,7,11,Notes of a Native Son (Unabridged),,James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Physical,Horizon,BOOK,2017,7,11,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction, Harlem New York N Y Drama","Vintage International,","2013, ©1981."
Digital,OverDrive,EBOOK,2017,7,5,Notes of a Native Son,,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Physical,Horizon,BOOK,2017,7,3,Nobody knows my name : more notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations","Vintage Books,",1993.
Digital,OverDrive,AUDIOBOOK,2017,7,12,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2017,7,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2017,7,1,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2017,7,4,Early novels and stories : Go tell it on the mountain ; Giovanni's room ; Another country ; Going to meet the man / James Baldwin ; [Toni Morrison selected the contents for this volume].,,"Baldwin, James, 1924-1987","African American authors, American fiction African American authors, African Americans Social conditions Fiction, Short stories","Library of America,",1998.
Physical,Horizon,BOOK,2017,7,4,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2017,7,7,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Digital,OverDrive,AUDIOBOOK,2017,7,9,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2017,7,10,James Baldwin : the last interview and other conversations / James Baldwin.,,"Baldwin, James, 1924-1987,","Baldwin James 1924 1987 Interviews, Authors American 20th century Interviews, African American authors Biography","Melville House,",[2014]
Digital,OverDrive,EBOOK,2017,7,1,Native Sons: A Friendship That Created One of the Greatest Works of the 20th Century: Notes of a Native Son,,James Baldwin,"Biography & Autobiography, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2017,7,3,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2017,7,2,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2017,7,11,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2017,7,1,"Little man, little man : a story of childhood / by James Baldwin ; illustrated by Yoran Cazac.",,"Baldwin, James, 1924-1987","African Americans Juvenile fiction, Harlem New York N Y Juvenile fiction","Dial Press,",[c1976]
Physical,Horizon,BOOK,2017,7,1,The amen corner / James Baldwin.,,"Baldwin, James, 1924-1987",,"Dell,","1990, c1968."
Physical,Horizon,BOOK,2017,7,1,The amen corner : a play / by James Baldwin.,,"Baldwin, James, 1924-1987","African American churches New York State New York Drama, African American families New York State New York Drama, Harlem New York N Y Drama","Vintage Books,",1998.
Physical,Horizon,BOOK,2017,7,1,A dialogue [by] James Baldwin [and] Nikki Giovanni. Foreword by Ida Lewis. Afterword by Orde Coombs.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, Giovanni Nikki, African Americans Psychology, United States Race relations","Lippincott,",[1973]
Digital,OverDrive,EBOOK,2017,7,3,Giovanni's Room,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2017,7,3,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Physical,Horizon,SOUNDDISC,2017,7,2,Giovanni's room [sound recording] / by James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Fiction, Sexual orientation Fiction, Paris France Fiction, Bisexuals Fiction, Psychological fiction, Audiobooks, Psychological fiction","AudioGO,",p2013.
Physical,Horizon,BOOK,2017,7,1,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Digital,OverDrive,EBOOK,2017,7,16,The Fire Next Time,,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,7,1,Jimmy's blues and other poems / James Baldwin ; with an introduction by Nikky Finney.,,"Baldwin, James, 1924-1987",,"Beacon Press,",[2014]
Physical,Horizon,BOOK,2017,7,27,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Digital,OverDrive,EBOOK,2017,7,3,Another Country,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,7,3,Tell Me How Long the Train's Been Gone,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,7,5,"Collected essays / James Baldwin ; Toni Morrison, editor.",,"Baldwin, James, 1924-1987","American literature African American authors, African American authors, Baldwin James 1924 1987, Baldwin James 1924 1987 Knowledge Performing arts, Motion picture plays History and criticism, African Americans in motion pictures, Black Muslims, African Americans Civil rights, African Americans Social conditions To 1964, African Americans Social conditions 1964 1975, United States Race relations History 20th century","Library of America,",1998.
Physical,Horizon,BOOK,2017,7,2,Jimmy's blues : selected poems / James Baldwin.,,"Baldwin, James, 1924-1987",,"St. Martin's Press,",c1985.
Physical,Horizon,BOOK,2017,7,21,I am not your negro : a major motion picture directed by Raoul Peck / from texts by James Baldwin ; compiled and edited by Raoul Peck.,,"Baldwin, James, 1924-1987,","United States Race relations, Civil rights movements United States History 20th century, Racism United States, African Americans Civil rights History 20th century","Vintage Books,",2017.
Digital,OverDrive,EBOOK,2017,7,7,Go Tell It on the Mountain,,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2017,7,1,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
Physical,Horizon,BOOK,2017,7,1,"Blues for Mister Charlie, a play.",,"Baldwin, James, 1924-1987",Racism United States Drama,"Dial Press,",1964.
Physical,Horizon,BOOK,2017,7,3,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Physical,Horizon,BOOK,2017,8,9,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Digital,OverDrive,EBOOK,2017,8,4,If Beale Street Could Talk,,James Baldwin,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,8,4,Another Country,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2017,8,8,Notes of a Native Son (Unabridged),,James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Physical,Horizon,BOOK,2017,8,10,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction, Harlem New York N Y Drama","Vintage International,","2013, ©1981."
Physical,Horizon,BOOK,2017,8,1,The amen corner : a play / by James Baldwin.,,"Baldwin, James, 1924-1987","African American churches New York State New York Drama, African American families New York State New York Drama, Harlem New York N Y Drama","Vintage Books,",1998.
Physical,Horizon,BOOK,2017,8,2,Native sons : a friendship that created one of the greatest works of the twentieth century : notes of a native son / James Baldwin and Sol Stein.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987 Correspondence, Baldwin James 1924 1987 Friends and associates, Authors American 20th century Correspondence, African American authors Correspondence, Stein Sol Friends and associates, Stein Sol Correspondence, Authorship Collaboration","One World,",2004.
Physical,Horizon,BOOK,2017,8,1,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Physical,Horizon,BOOK,2017,8,7,Early novels and stories : Go tell it on the mountain ; Giovanni's room ; Another country ; Going to meet the man / James Baldwin ; [Toni Morrison selected the contents for this volume].,,"Baldwin, James, 1924-1987","African American authors, American fiction African American authors, African Americans Social conditions Fiction, Short stories","Library of America,",1998.
Digital,OverDrive,EBOOK,2017,8,10,Go Tell It on the Mountain,,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,8,1,Fifty Famous Stories Retold,,James Baldwin,"History, Juvenile Nonfiction","Simon & Schuster, Inc.",2013
Physical,Horizon,SOUNDDISC,2017,8,1,Giovanni's room [sound recording] / by James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Fiction, Sexual orientation Fiction, Paris France Fiction, Bisexuals Fiction, Psychological fiction, Audiobooks, Psychological fiction","AudioGO,",p2013.
Digital,OverDrive,AUDIOBOOK,2017,8,1,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
Digital,OverDrive,EBOOK,2017,8,2,Tell Me How Long the Train's Been Gone,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,8,29,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2017,8,20,I am not your negro : a major motion picture directed by Raoul Peck / from texts by James Baldwin ; compiled and edited by Raoul Peck.,,"Baldwin, James, 1924-1987,","United States Race relations, Civil rights movements United States History 20th century, Racism United States, African Americans Civil rights History 20th century","Vintage Books,",2017.
Physical,Horizon,BOOK,2017,8,1,One day when I was lost : a scenario based on Alex Haley's The autobiography of Malcolm X / James Baldwin.,,"Baldwin, James, 1924-1987",X Malcolm 1925 1965 Drama,"Vintage International,","2007, c1972."
Digital,OverDrive,EBOOK,2017,8,8,Notes of a Native Son,,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2017,8,4,Giovanni's Room (Unabridged),,James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2017,8,1,Native Sons: A Friendship That Created One of the Greatest Works of the 20th Century: Notes of a Native Son,,James Baldwin,"Biography & Autobiography, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2017,8,5,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Digital,OverDrive,EBOOK,2017,8,5,James Baldwin: The Last Interview and Other Conversations,,James Baldwin,"Biography & Autobiography, Literary Criticism, Nonfiction","Random House, Inc.",2016
Physical,Horizon,BOOK,2017,8,7,"Collected essays / James Baldwin ; Toni Morrison, editor.",,"Baldwin, James, 1924-1987","American literature African American authors, African American authors, Baldwin James 1924 1987, Baldwin James 1924 1987 Knowledge Performing arts, Motion picture plays History and criticism, African Americans in motion pictures, Black Muslims, African Americans Civil rights, African Americans Social conditions To 1964, African Americans Social conditions 1964 1975, United States Race relations History 20th century","Library of America,",1998.
Digital,OverDrive,EBOOK,2017,8,4,Giovanni's Room,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,8,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2017,8,2,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Digital,OverDrive,AUDIOBOOK,2017,8,16,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2017,8,1,Notes of a native son.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations",Beacon Press,[1955]
Physical,Horizon,BOOK,2017,8,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Digital,OverDrive,EBOOK,2017,8,3,Going to Meet the Man: Stories,,James Baldwin,"Fiction, Short Stories","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,8,1,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2017,8,12,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Vintage International,",2013.
Physical,Horizon,BOOK,2017,8,2,Jimmy's blues and other poems / James Baldwin ; with an introduction by Nikky Finney.,,"Baldwin, James, 1924-1987",,"Beacon Press,",[2014]
Physical,Horizon,SOUNDDISC,2017,8,3,Notes of a native son [sound recording] / by James Baldwin.,,"Baldwin, James, 1924-1987,","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987, Audiobooks","Blackstone Audio, Inc.,",[2015]
Digital,OverDrive,AUDIOBOOK,2017,8,7,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2017,8,1,"Blues for Mister Charlie, a play.",,"Baldwin, James, 1924-1987",Racism United States Drama,"Dial Press,",1964.
Digital,OverDrive,AUDIOBOOK,2017,8,2,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Digital,OverDrive,EBOOK,2017,8,20,The Fire Next Time,,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,8,8,James Baldwin : the last interview and other conversations / James Baldwin.,,"Baldwin, James, 1924-1987,","Baldwin James 1924 1987 Interviews, Authors American 20th century Interviews, African American authors Biography","Melville House,",[2014]
Physical,Horizon,BOOK,2017,8,2,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2017,8,1,Nobody knows my name : more notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations","Vintage Books,",1993.
Physical,Horizon,BOOK,2017,8,1,The amen corner; a play.,,"Baldwin, James, 1924-1987",,"Dial Press,",1968.
Physical,Horizon,BOOK,2017,8,1,Blues for Mister Charlie : a play / by James Baldwin.,,"Baldwin, James, 1924-1987",Racism United States Drama,"Vintage International,",1995.
Physical,Horizon,BOOK,2017,8,8,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2017,8,5,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2017,8,1,If Beale Street could talk [text (large print)] / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Large type books","G.K. Hall,",1996.
Physical,Horizon,BOOK,2017,9,5,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2017,9,3,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2017,9,1,"Little man, little man : a story of childhood / by James Baldwin ; illustrated by Yoran Cazac.",,"Baldwin, James, 1924-1987","African Americans Juvenile fiction, Harlem New York N Y Juvenile fiction","Dial Press,",[c1976]
Digital,OverDrive,AUDIOBOOK,2017,9,8,Notes of a Native Son (Unabridged),,James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Physical,Horizon,BOOK,2017,9,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Digital,OverDrive,EBOOK,2017,9,5,Another Country,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,9,7,"Collected essays / James Baldwin ; Toni Morrison, editor.",,"Baldwin, James, 1924-1987","American literature African American authors, African American authors, Baldwin James 1924 1987, Baldwin James 1924 1987 Knowledge Performing arts, Motion picture plays History and criticism, African Americans in motion pictures, Black Muslims, African Americans Civil rights, African Americans Social conditions To 1964, African Americans Social conditions 1964 1975, United States Race relations History 20th century","Library of America,",1998.
Digital,OverDrive,EBOOK,2017,9,6,Notes of a Native Son,,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Physical,Horizon,SOUNDDISC,2017,9,1,Giovanni's room [sound recording] / by James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Fiction, Sexual orientation Fiction, Paris France Fiction, Bisexuals Fiction, Psychological fiction, Audiobooks, Psychological fiction","AudioGO,",p2013.
Digital,OverDrive,AUDIOBOOK,2017,9,13,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2017,9,10,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Vintage International,",2013.
Physical,Horizon,SOUNDDISC,2017,9,1,Notes of a native son [sound recording] / by James Baldwin.,,"Baldwin, James, 1924-1987,","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987, Audiobooks","Blackstone Audio, Inc.,",[2015]
Physical,Horizon,BOOK,2017,9,4,Early novels and stories : Go tell it on the mountain ; Giovanni's room ; Another country ; Going to meet the man / James Baldwin ; [Toni Morrison selected the contents for this volume].,,"Baldwin, James, 1924-1987","African American authors, American fiction African American authors, African Americans Social conditions Fiction, Short stories","Library of America,",1998.
Physical,Horizon,BOOK,2017,9,1,Native sons : a friendship that created one of the greatest works of the twentieth century : notes of a native son / James Baldwin and Sol Stein.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987 Correspondence, Baldwin James 1924 1987 Friends and associates, Authors American 20th century Correspondence, African American authors Correspondence, Stein Sol Friends and associates, Stein Sol Correspondence, Authorship Collaboration","One World,",2004.
Physical,Horizon,BOOK,2017,9,10,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Digital,OverDrive,AUDIOBOOK,2017,9,5,Giovanni's Room (Unabridged),,James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2017,9,1,Blues for Mister Charlie : a play / by James Baldwin.,,"Baldwin, James, 1924-1987",Racism United States Drama,"Vintage International,",1995.
Digital,OverDrive,EBOOK,2017,9,1,Tell Me How Long the Train's Been Gone,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,9,2,If Beale Street Could Talk,,James Baldwin,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,9,19,The Fire Next Time,,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,9,5,Go Tell It on the Mountain,,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,9,3,Giovanni's Room,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2017,9,2,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2017,9,5,James Baldwin: The Last Interview and Other Conversations,,James Baldwin,"Biography & Autobiography, Literary Criticism, Nonfiction","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2017,9,4,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Digital,OverDrive,EBOOK,2017,9,2,Going to Meet the Man: Stories,,James Baldwin,"Fiction, Short Stories","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,9,4,"Blues for Mister Charlie, a play.",,"Baldwin, James, 1924-1987",Racism United States Drama,"Dial Press,",1964.
Physical,Horizon,BOOK,2017,9,9,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction, Harlem New York N Y Drama","Vintage International,","2013, ©1981."
Physical,Horizon,BOOK,2017,9,8,I am not your negro : a major motion picture directed by Raoul Peck / from texts by James Baldwin ; compiled and edited by Raoul Peck.,,"Baldwin, James, 1924-1987,","United States Race relations, Civil rights movements United States History 20th century, Racism United States, African Americans Civil rights History 20th century","Vintage Books,",2017.
Physical,Horizon,BOOK,2017,9,1,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Digital,OverDrive,AUDIOBOOK,2017,9,4,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2017,9,2,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
Physical,Horizon,BOOK,2017,9,7,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2017,9,2,Nobody knows my name : more notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations","Vintage Books,",1993.
Physical,Horizon,BOOK,2017,9,3,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Physical,Horizon,BOOK,2017,9,27,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Digital,OverDrive,AUDIOBOOK,2017,9,12,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2017,9,1,Notes of a native son.,,"Baldwin, James, 1924-1987","African Americans, United States Race relations",Beacon Press,[1955]
Physical,Horizon,BOOK,2017,9,6,James Baldwin : the last interview and other conversations / James Baldwin.,,"Baldwin, James, 1924-1987,","Baldwin James 1924 1987 Interviews, Authors American 20th century Interviews, African American authors Biography","Melville House,",[2014]
Digital,OverDrive,EBOOK,2017,10,6,Giovanni's Room,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,10,1,"One day, when I was lost; a scenario. Based on Alex Haley's ""The autobiography of Malcolm X.""",,"Baldwin, James, 1924-1987",X Malcolm 1925 1965 Drama,"Dial Press,",1973.
Digital,OverDrive,EBOOK,2017,10,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2017,10,4,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2017,10,8,Go Tell It On the Mountain (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2017,10,4,James Baldwin: The Last Interview and Other Conversations,,James Baldwin,"Biography & Autobiography, Literary Criticism, Nonfiction","Random House, Inc.",2016
Physical,Horizon,BOOK,2017,10,4,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2017,10,8,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Digital,OverDrive,EBOOK,2017,10,20,The Fire Next Time,,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,10,8,James Baldwin : the last interview and other conversations / James Baldwin.,,"Baldwin, James, 1924-1987,","Baldwin James 1924 1987 Interviews, Authors American 20th century Interviews, African American authors Biography","Melville House,",[2014]
Digital,OverDrive,AUDIOBOOK,2017,10,10,Notes of a Native Son (Unabridged),,James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2017,10,14,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2017,10,11,I am not your negro : a major motion picture directed by Raoul Peck / from texts by James Baldwin ; compiled and edited by Raoul Peck.,,"Baldwin, James, 1924-1987,","United States Race relations, Civil rights movements United States History 20th century, Racism United States, African Americans Civil rights History 20th century","Vintage Books,",2017.
Digital,OverDrive,EBOOK,2017,10,2,Tell Me How Long the Train's Been Gone,,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2017,10,1,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
