quote,text,tweet_type,date
cling so stubbornly,"""@fqxjv: James Baldwin on the sanctimonious, racist reaction to #BlackLivesMatter & #ICantBreathe cc: @buLLCrap009 http://t.co/zPZAgeDWLb""",original,2014-12-11 11:57:56+00:00
cling so stubbornly,"""People cling to their hate because they sense, once hate is gone, they will be forced to deal with pain."" -James Baldwin #Ferguson",original,2014-11-25 04:02:23+00:00
cling so stubbornly,"@nbcsnl MT: James Baldwin on the sanctimonious, racist reaction to #BlackLivesMatter & #ICantBreathe cc: @buLLCrap009 http://t.co/yd6ZBKSbuu",original,2014-12-07 05:59:24+00:00
cling so stubbornly,"View of LadyLiberty http://t.co/S0UP9QlXTK  Reminds me of book ""The Fire Next Time"" byJamesBaldwin  #BlackLivesMatter http://t.co/9AIttzN9Uv",original,2014-12-09 07:48:30+00:00
contemptuous,the way to be really despicable is to be contemptuous of other people’s pain.' - james baldwin #BalitmoreUprising #FreddieGray,original,2015-05-01 03:26:51+00:00
contemptuous,"Many ways of being despicable ""but the way to be really despicable is to be contemptuous of other people’s pain."" James Baldwin #Ferguson",original,2014-12-02 06:50:20+00:00
contemptuous,"""But the way to be really despicable is to be contemptuous of other people’s pain."" James Baldwin #BlackLivesMatter",original,2014-12-04 20:25:38+00:00
criticize her perpetually,It is because I love America.... #WeMustDoBetter #JamesBaldwin #America #BlackLivesMatter #NoJustice4MichaelBrown http://t.co/oceifNXi6Q,original,2014-11-25 13:52:19+00:00
dehumanization of the negroes,"""Our dehumanization of the Negro then is indivisible from our dehumanization of ourselves."" -James Baldwin #BlackLivesMatter #ICantBreathe",original,2014-12-23 19:30:42+00:00
deluded themselves,“These people have deluded themselves for so long – they really don’t think I’m human.” – James Baldwin #Ferguson,original,2014-11-26 08:17:02+00:00
disturb the peace,"Q: ""Artists are here to disturb the peace?"" A: ""Yes, they have to disturb the peace.  Otherwise, chaos."" James Baldwin #Ferguson",original,2014-11-25 02:38:53+00:00
dying fastest,"For #Ferguson, James Baldwin, 1968: ""We are only the ones who are dying fastest."" http://t.co/Idx8HwOdXu http://t.co/N4ARfHxM0c",original,2014-08-18 17:00:10+00:00
experience which Americans deny,"“As a Negro, you represent a level of experience which Americans deny”, #JamesBaldwin - #BlackLivesMatter",original,2014-12-07 22:55:59+00:00
extremely expensive it is to be poor,"""Anyone who has ever struggled w #poverty knows how extremely expensive it is to be poor"" - James Baldwin #quote #quotes #BlackLivesMatter",original,2015-02-01 06:15:05+00:00
fire next time,"""God gave Noah the rainbow sign, no more water, the fire next time"" -James Baldwin #TonyRobinson… https://t.co/ql5WTXGTF7",original,2015-05-13 00:45:12+00:00
fire next time,"""God gave Noah the rainbow sign No more water, the fire next time."" - James Baldwin #Ferguson #MikeBrown #EricGarner #EzellFord",original,2014-08-30 07:59:04+00:00
fire next time,"a reply to the great James Baldwin - ""The Fire Next Time? Next Time is Now!"" #Ferguson @jbouie",original,2014-09-19 17:01:48+00:00
fire next time,#Ferguson and America can go to hell....in the words of James Baldwin the fire next time!!!,original,2014-11-25 02:31:07+00:00
