quote,text,tweet_type,date
other,"White America, it's up to you.In the final analysis it's up to you. James Baldwin said it. Malcolm X said it. What will you do?#FreddieGray",original,2015-04-28 13:48:15+00:00
other,Dear white people against #Ferguson please invest in learning James Baldwin,original,2014-11-23 16:30:03+00:00
other,Fact that I had to compare James Baldwin and Michael brown and that shit was so amazing in class like damm,original,2014-08-25 02:10:45+00:00
other,I heard that that James Baldwin was the stuff to read to wrap your head around Ferguson. My drift is towards Harold Cruse though. #Ferguson,original,2014-08-20 01:50:54+00:00
other,"@NPR tries to equate #Ferguson w Harlem 1943 by citing James Baldwin essay. Do Ferguson stores represent ""white power""?!? Socrates wept.",original,2014-08-19 23:39:07+00:00
other,Brotha from Stl breaking down the work & invoked James Baldwin to think about inclusive movement building. #BlackLivesMatter,original,2014-08-30 14:22:41+00:00
other,Fantastic speech by @esglaude about James Baldwin and #BlackLivesMatter @linlibraries for the Linfield Baldwin Symposium.,original,2015-05-08 20:33:49+00:00
other,Watched a James Baldwin interview last night.  Truly a man among men. #BlackLivesMatter #Selma #literature #manhood,original,2015-01-11 15:39:33+00:00
other,"finishing essay on #jamesbaldwin, queer art making, persistence of visuality in #blacklivesmatter movement. #artistsagainstpolicebrutality",original,2015-02-17 21:05:32+00:00
other,Keynote speaker Eddie Glaude from @Princeton is starting his presentation on #JamesBaldwin & #BlackLivesMatter soon in Nicholson!,original,2015-05-08 19:33:01+00:00
other,"""CNN like this  whole gay community, white community come together. We BEEN together. James Baldwin."" #Blacklivesmatter",original,2014-08-30 14:21:36+00:00
other,If literature helps: J.M. Coetzee (context?) alongside James Baldwin (hope?) #ferguson #gaza #everywhere #allthetime,original,2014-08-22 09:55:08+00:00
other,"May there be an uprising of Martins, Malcolms & James Baldwins. #BlackLivesMatter.",original,2014-12-07 12:21:46+00:00
other,Lot of #JamesBaldwin on Twitter tonight. Apropos. #BlackLivesMatter #PowerfulWords #Educate #Organize #Protest,original,2014-11-25 05:53:57+00:00
other,"That moment when you realize, as an American, your education is incomplete because you've never read James Baldwin. #Ferguson",original,2014-08-23 18:21:44+00:00
other,Reading #JamesBaldwin also makes me stop and think how each of these police killings impacts family across generations. #BlackLivesMatter,original,2015-05-23 18:12:59+00:00
other,"@deray mckesson's tweets contain James Baldwin's clarity, Malcolm X's analysis, and Ella Baker's urgency. #Ferguson",original,2014-12-16 02:16:14+00:00
other,James Baldwin's literature is so relatable at a time like this #APEnglish #BlackLivesMatter,original,2014-11-25 07:47:33+00:00
other,"Here's how my household is thinking about #Ferguson: I'm reading James Baldwin, my husband is listening to NWA.",original,2014-08-13 03:01:19+00:00
other,"Where are today's Bayard Rustins, Malcolm Xs, James Baldwins, MLK Jrs, James Farmers, etc?? #FreddieGray #nyc #Baltimore #ShutItDown",original,2015-04-29 22:44:59+00:00
other,"Oops, True. #BlackLlamasMatter too! Something James Baldwin might have said? :D  #BlackLivesMatter @Urban_Agenda @nvlevy",original,2015-02-27 00:46:23+00:00
other,"James Baldwin knew: The Q isn't will a Black man ever be #POTUS. The Q is, what kind of country will he be president of? #Ferguson #Gaza",original,2014-08-14 19:05:11+00:00
other,Join NAACP Give to protest funds Read more James Baldwin Talk to your kids about white supremacy Blow up your facebook #BlackLivesMatter,original,2014-12-03 21:15:14+00:00
other,I wish #JamesBaldwin was here. #Ferguson,original,2014-11-25 07:01:31+00:00
other,I wish James Baldwin was here with us right now. #ICantBreathe #Ferguson,original,2014-12-11 01:44:27+00:00
other,.@TheDCArts great program & panel led by @drolarkb on the contributions of Bayard Rustin & James Baldwin. #Proequalityforall #Ferguson,original,2014-08-19 00:30:35+00:00
other,"When I hear James Baldwin, Franz Fanon, and #Ferguson shouted out in the first 5 minutes of speech I'm in the right place #PowerMovement",original,2015-02-10 17:54:53+00:00
other,Listening to Nina Simone and re-reading James Baldwin. Two souls we need now more than ever #Ferguson,original,2014-08-20 01:33:07+00:00
other,"He is. ""@capetownbrown: I wish James Baldwin was here with us right now. #ICantBreathe #Ferguson""",original,2014-12-11 03:19:12+00:00
other,Staying home on Friday to read some James Baldwin and Toni Cade. Not spending one red cent. #Ferguson #BlackFriday #BlackLivesMatter,original,2014-11-25 04:59:04+00:00
other,"Rev. Rashad Grove: ""I'm not going to use the sacred text of the Bible but of James Baldwin"" #lastwords #blacklivesmatter",original,2014-12-11 01:04:04+00:00
other,Imma have to break out some James Baldwin after this shit. #Ferguson #DarrenWilson #MichaelBrown,original,2014-11-25 02:06:22+00:00
other,"You can read all the James Baldwin you want too,if u think u can bypass local politics to effect change, you're still ignorant #Ferguson",original,2014-12-06 22:25:41+00:00
other,"""James Baldwin is a key figure in our mvmt! Gay, straight, that's never been a problem in our community."" #BlackLivesMatter",original,2014-08-30 14:22:09+00:00
other,James Baldwin's words are currently sending currents of clarity down my spine. So much courage and precision.  #BlackLivesMatter,original,2014-12-14 21:57:03+00:00
other,"James Baldwin's words are more relevant today, than they were back in the early 1960's. #NYPD #BlackLivesMatter",original,2015-01-05 10:37:33+00:00
other,"James Baldwin's words are more relevant today, than they were back in the early 1960's. #NYPD #BlackLivesMatter",original,2015-01-05 10:36:03+00:00
other,"#JamesBaldwin, i would give anything to tell you that things have changed since 1964. but thinking about #MichaelBrown and so many others...",original,2014-11-25 07:42:12+00:00
other,"#JamesBaldwin said these things back in #1964 50 years ago. yet, we're still fighting each other while our children die. #Ferguson",original,2014-11-25 07:38:50+00:00
other,Listening to James Baldwin debate in 1965. 49 years later his words have the same power. #BlackLivesMatter,original,2014-12-03 22:21:08+00:00
other,"I imagine the words of James Baldwin resonated just as much in 1965 as they do today, that's partly the tragedy of it all.#BlackLivesMatter",original,2014-12-04 15:19:26+00:00
other,"#OTD in 1987, James Baldwin died; if he were here, he'd say we still have a lot to learn about each other #fergusondecision  #MichaelBrown",original,2014-12-01 16:19:50+00:00
other,"Wonderful #Ferguson #JusticeForMikeBrown commercial. With a James Baldwin quote. Well done, @MTV",original,2014-08-25 02:10:04+00:00
other,"Just when I thought the #VMAs would be silent on #FERGUSON, there pops a James Baldwin quote. I can go back to watching #TheStrain now.",original,2014-08-25 02:11:02+00:00
other,Holy shit! #mtv just put up a James Baldwin quote for #Ferguson #HandsUpDontShoot #LookDifferent,original,2014-08-25 02:11:18+00:00
other,Okk!!! @MTV I see y'all promoting the Mike Brown with the James Baldwin quotes. Yesss!,original,2014-08-25 02:10:09+00:00
other,Wait!! @MTV Quoting James Baldwin and speaking of #Ferguson ?! Is this everyday or just tonight?!!,original,2014-08-25 02:10:30+00:00
other,"Giving me so much life RT @CNNent: @MTV for #LookDifferent with a James Baldwin quote and the chant ""Hands Up, Don't Shoot."" #VMAs #Ferguson",original,2014-08-25 02:12:05+00:00
other,Did I just see a James Baldwin quote on @MTV?! 🙌 #TheresHope #Ferguson,original,2014-08-25 02:11:09+00:00
other,Ohh crap! They just said #dontshoot with a James Baldwin quote on the VMAS #wemadeit #MikeBrown,original,2014-08-25 02:11:20+00:00
other,Pause. MTV had a #Ferguson commercial that quoted James Baldwin at the #VMAs,original,2014-08-25 02:10:31+00:00
other,Thank you @MTV #VMAs for introducing this generation to James Baldwin & for speaking up for #MikeBrown. #Salute,original,2014-08-25 03:46:43+00:00
other,"Really, really proud of @MTV for the #Ferguson PSA AND the James Baldwin quote.",original,2014-08-25 02:12:54+00:00
other,WOW #MTV quoted James Baldwin Im positive half of the audience doesnt understand that levity let alone know who he is #MTVVMAs2014 #Ferguson,original,2014-08-25 02:11:12+00:00
other,#Philly @FergusonResp ACTION TODAY WED 4/8 Temple Univ 530PM James Baldwin & the 21st Century #BlackLivesMatter,original,2015-04-08 16:25:24+00:00
other,Starting SOON #Philly @FergusonResp ACTION TODAY WED 4/8 Temple Univ 530PM James Baldwin & the 21st Century #BlackLivesMatter,original,2015-04-08 20:31:05+00:00
other,#Philly @FergusonResp ACTION TODAY WED 4/8 Temple Univ 530PM James Baldwin & the 21st Century #BlackLivesMatter,original,2015-04-08 16:25:20+00:00
other,Starting SOON #Philly @FergusonResp ACTION TODAY WED 4/8 Temple Univ 530PM James Baldwin & the 21st Century #BlackLivesMatter,original,2015-04-08 20:31:03+00:00
other,"THIS SAT 2/28, OC celebrates Black History Month w/ BLACK LIVES MATTER: includes an excerpt from James Baldwin in ""Take this Hammer"" (1964)!",original,2015-02-24 09:51:52+00:00
other,"And crown thy good with Brotherhood from sea to shining sea. #JamesBaldwin ""The Fire Next Time"" (1963) #MikeBrown #EricGarner #Summer2015",original,2015-03-05 01:59:25+00:00
other,"I'm sending my mom IG links, she texting me James Baldwin quotes. Coping with each other in our own way. #blacklivesmatter",original,2014-12-04 03:27:15+00:00
other,I'm really need ppl to chill with these James Baldwin quotes. I have no interest in being that woke right now #ferguson,original,2014-08-11 20:14:23+00:00
other,Maybe quote James Baldwin next time. #TonyRobinson,original,2015-05-12 20:38:56+00:00
other,"HLN correspondent @NatishaLance responded to questions about why people in #Ferguson riot with a #JamesBaldwin quote, circa 1968. Thank you.",original,2014-11-25 19:33:42+00:00
other,People DO pay for their crimes. (James Baldwin) It's just a matter of time. #Ferguson,original,2014-11-06 04:12:30+00:00
other,"As James Baldwin would say, it would be easier to be angry only. But, for Black & Brown Americans, there's no escaping the pain. #Ferguson",original,2014-11-25 04:23:52+00:00
other,"I'm hearing James Baldwin: The Q isn't will a Black man ever be president. The Q is, what kind of country will he be president of? #Ferguson",original,2014-08-14 03:24:14+00:00
other,I listen to James Baldwin's debate with William F. Buckley to calm down in the face of these bullshit racist police murders #WalterScott,original,2015-04-08 00:10:12+00:00
other,"Want to go home and watch James Baldwin's debate at the Oxford Union, because #Ferguson",original,2014-11-25 19:28:29+00:00
other,"Time to re-read ""The Evidence of Things Not Seen"" #JamesBaldwin #FergusonDecision #MichaelBrown  #Ferguson",original,2014-11-25 04:45:27+00:00
other,*insert James Baldwin quote* #Ferguson,original,2014-08-14 03:59:20+00:00
other,#LookDifferent #Jamesbaldwin 🙏😢 #MikeBrown #Ferguson,original,2014-08-25 02:10:35+00:00
other,"Giovanni's Room, James Baldwin #BlackHistoryMonth #BlackLivesMatter",original,2015-02-10 04:02:03+00:00
other,It's actually not OK to revere James Baldwin on one hand and deny the liberation of Black LGBT folks on the other. All #BlackLivesMatter,original,2015-02-25 18:04:25+00:00
other,James Baldwin said it best nearly 50 yrs ago. #ferguson #icantbreathe http://t.co/uQOZSpCLu0,original,2014-12-03 22:34:10+00:00
other,Preview of my personal and artistic plan for 2015- #blackisbeautiful #blacklivesmatter #jamesbaldwin… http://t.co/qdAyACMGdU,original,2014-12-31 13:06:26+00:00
other,Is a nigga a citizen? #blackboy #richardwright #blacklivesmatter #blackqueerlivesmatter #jamesbaldwin… https://t.co/dBQTtJpaQm,original,2015-04-29 00:13:04+00:00
other,James Baldwin: The fire this time - from Harlem to #Ferguson (via @CBCSunday) http://t.co/SSnmQJzxb3,original,2014-11-30 16:33:50+00:00
other,What is your favorite piece of writing by James Baldwin? Where should I start? #blacklivesmatter #twitterstorians http://t.co/QviElr78Od,original,2014-12-08 01:43:02+00:00
other,#BlackLivesMatter City Council names street for James Baldwin after delay http://t.co/tbZ4DZMCKB,original,2015-01-26 05:17:50+00:00
other,Imagine if we were able 2 ask James Baldwin for comment instead of Charles Barkley? http://t.co/c9jeY7SmpZ #BlackLivesMatter,original,2014-12-06 21:01:37+00:00
other,Imagine if we were able 2 ask James Baldwin for comment instead of Charles Barkley? http://t.co/W8InAhEpqI #BlackLivesMatter,original,2014-12-06 21:05:08+00:00
other,Imagine if we were able 2 ask James Baldwin for comment instead of Charles Barkley? http://t.co/39xneZXLEK #BlackLivesMatter,original,2014-12-06 21:10:10+00:00
other,New article on darkpolitricks: December Surprise http://t.co/uw9mP7zE2d #Afghanistan #Africa #AIDS #Ferguson #Ghana #III #JamesBaldwin #NYC,original,2014-12-22 03:13:46+00:00
other,Check out this &gt; Decembr Surprise http://t.co/wknUuRmiqC #Afghanistan #Africa #AIDS #Ferguson #Ghana #III #JamesBaldwin #Media #NYC,original,2014-12-22 03:13:48+00:00
other,new story on darkpolitricks Decembr Surprise http://t.co/ScuSf8ZHCi #Afghanistan #Africa #AIDS #Ferguson #Ghana #III #JamesBaldwin #Media,original,2014-12-22 03:13:49+00:00
other,Jon Stewart reality #Ferguson http://t.co/EuvVrt7rAF Needed: a Flannery O'Connor or James Baldwin ASAP to clear fog.,original,2014-08-29 13:22:57+00:00
other,#Ferguson ? One can do worse than reread James Baldwin: http://t.co/b3rnJigVBi #FergusonShooting #FergusonRiot #Racism #JimCrow #inequality,original,2014-08-21 14:31:29+00:00
other,"VMAs Address Social Unrest and Protests in #Ferguson: MTV chose the words of James Baldwin, a writer... http://t.co/i0BTh471YL #ferguson",original,2014-08-25 03:09:13+00:00
other,A Report from Occupied Territory (1966) ~James Baldwin http://t.co/S1mimsf5zb #Ferguson #JordanDavis #TrayvonMartin #Michael Brown,original,2014-09-27 19:39:54+00:00
other,James Baldwin said you only have to be relatively conscious to be in a rage. So many are asleep. #BlackLivesMatter http://t.co/JqKiM66aR3,original,2014-11-25 19:24:29+00:00
other,via @warscapes: #Ferguson is haunted by #jamesbaldwin http://t.co/oPTbOQN1m5 @bhakti_shringa @michaelbronner @michaelbronner,original,2014-12-05 16:29:47+00:00
other,"""What I learned from James Baldwin’s writing about race, in a moment of great anger:"" http://t.co/jmgax5d8L3 #Ferguson #ICantBreathe",original,2014-12-17 17:09:39+00:00
other,#LetterToJimmy A #African view on #RacialJustice in U.S. #JamesBaldwin #BlackLivesMatter #HumanRights #socialjustice http://t.co/RsJH9Uv2tC,original,2015-01-07 21:00:46+00:00
other,Check it https://t.co/k49GAsp5AG #CharlieHebdo #ParisAttacks #ParisShooting #BlackLivesMatter #JamesBaldwin,original,2015-01-15 18:30:05+00:00
other,From ‘Victim’ to ‘Threat’: #JamesBaldwin and the Demands of Self-Respect | The Nation http://t.co/NUI2sRdKld #BlackLivesMatter,original,2015-02-10 23:14:53+00:00
other,From ‘Victim’ to ‘Threat’: James Baldwin and the Demands of Self-Respect | The Nation http://t.co/NO2BVYXu6D #blacklivesmatter,original,2015-02-11 00:48:22+00:00
other,#BlackLivesMatter From ‘Victim’ to ‘Threat’: James Baldwin and the Demands of Self-Respect | The Nation http://t.co/6v3eWQR0zH,original,2015-02-11 01:23:29+00:00
other,"The Long Road http://t.co/CJSMhJSO14 via @newyorker #Selma James Baldwin, Eric Garner",original,2015-03-07 22:23:02+00:00
other,Check out James Baldwin on today's blog! http://t.co/8jBXIu5YI1 #blacklivesmatter #jamesbaldwin #michaelbrown #trayvonmartin #seanbell,original,2014-11-06 17:43:01+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/A7dEiL1xSa,original,2014-09-02 19:39:33+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/nYpK4RiDLP via @HuffPostRelig,original,2014-09-02 19:39:36+00:00
other,"The Black Lives Matter Movement:  Channeling James Baldwin, ""My Dungeon Shook"" http://t.co/CyXhIwcUiR",original,2015-01-06 20:46:24+00:00
other,"The Black Lives Matter Movement:  Channeling James Baldwin, ""My Dungeon Shook"" http://t.co/Acm2kVissg",original,2015-01-06 22:02:12+00:00
other,Virtual Readings For Baltimore's Freddie Gray: ... from novelist and social critic James Baldwin to hip hop ar... http://t.co/qFsDGGUJ1X,original,2015-04-28 23:12:35+00:00
other,Virtual Readings For Baltimore's Freddie Gray: ... from novelist and social critic James Baldwin to hip hop ar... http://t.co/d2qsuGJoJa,original,2015-04-28 23:12:35+00:00
other,#Ferguson & #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death  http://t.co/zkOz0CoKGN,original,2015-03-14 03:20:26+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/i070Rl4BZa,original,2014-12-29 08:47:39+00:00
other,"#BlackLivesMatter - James Baldwin : America’s Prophet, Resurrected  American writer James Baldwin  poses in front... http://t.co/QDP8hD4XAO",original,2015-02-27 04:15:58+00:00
other,The Agony and the Ecstasy of #JamesBaldwin: http://t.co/pvYemDTjb7 #clydefitch #arts #lgbt #race #books #MLK #Ferguson,original,2014-09-05 19:30:36+00:00
other,#Ferguson #Blacklivesmatter Shows How James Baldwin’s Words Still Resonate http://t.co/iaCxV03Hiv via @neontommy #ICantBreathe #EricGarner,original,2014-12-09 23:10:15+00:00
other,"The Black Lives Matter Movement: Channeling James Baldwin, “My Dungeon Shook” http://t.co/HcW79THGNe",original,2015-01-07 02:38:16+00:00
other,"The Black Lives Matter Movement:  Channeling James Baldwin, ""My Dungeon Shook"": http://t.co/sLhIEfJKY6",original,2015-01-07 19:27:27+00:00
other,"A Native Son  ""#MTV Taps James Baldwin [words] To Address #Ferguson At #VMAs""  http://t.co/47jGpteW8f  #Culture",original,2014-08-25 02:28:49+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/vgKHYUoT2g via @HuffPostRelig,original,2014-09-02 22:16:27+00:00
other,Michael Brown and James Baldwin  http://t.co/ifWf2cU1O7 via @HuffPostRelig,original,2014-09-03 04:21:33+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/t3oOiQMcYA via @HuffPostRelig,original,2014-09-03 14:04:36+00:00
other,In the Footsteps of James Baldwin and Michael Brown - Dr. Wallace Best http://t.co/G0xARFj1un via @HuffPostRelig,original,2014-09-04 18:32:38+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/251KUW8GOc #Christian #Auctions,original,2014-09-02 19:40:13+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/OVV5ieEMJl,original,2014-09-02 19:40:14+00:00
other,In the Footsteps of James Baldwin and Michael Brown http://t.co/bAo9Mwu4qo @AlexCooper715,original,2014-09-02 19:40:50+00:00
other,plthomasEdD: #Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years Af... http://t.co/i29kOVg5sj,original,2014-12-06 12:35:42+00:00
other,"RT edwarmi: ""What I learned from James Baldwin’s writing about race, in a moment of great anger:"" http://t.co/JDpEN3ZXEn  #Ferguson #ICa...",original,2014-12-17 17:13:52+00:00
other,"The Black Lives Matter Movement:  Channeling James Baldwin, ""My Dungeon Shook"" http://t.co/VTJwfJKdmK Latest from @OpEdNews",original,2015-01-06 20:56:23+00:00
other,What Frightens the #Ferguson Police http://t.co/l0JXlWKRkG #lit #jamesbaldwin http://t.co/Bc8y8y71Fz,original,2014-08-21 17:10:18+00:00
other,#article :What Would James Baldwin Say About #Ferguson ? http://t.co/D7w25f2WCz #BlackLivesMatter,original,2015-01-12 19:14:16+00:00
other,"James Baldwin, a Guide in Dark Times http://t.co/ZOvXmed6u0 via @thenation #BlackLivesMatter #Fierce",original,2015-01-25 22:21:57+00:00
other,White Supremacy ... http://t.co/hFuUfqaWnz #BlackLivesMatter #ChrisRock #JamesBaldwin #WhiteSupremacy http://t.co/JYuYSe0SlH,original,2014-12-16 18:26:34+00:00
other,"The #BlackLivesMatter Movement: Channeling James Baldwin, ""My Dungeon Shook""   http://t.co/yWTwkVeBP7 #ICantBreathe",original,2015-01-07 16:23:24+00:00
other,White Supremacy-Here's The Thing... James Baldwin; Chris Rock-@LeimertParkBeat @LPVillage @KJLHnews #BlackLivesMatter http://t.co/vpruC7TLp6,original,2014-12-17 23:57:27+00:00
other,"""In the Footsteps of James Baldwin and Michael Brown"" - http://t.co/Dbz3SwScEI (Prof. Wallace Best) #MichaelBrown",original,2014-09-10 15:19:55+00:00
other,.@tejucole on re-reading James Baldwin in light of #Ferguson http://t.co/tH29KNJjEZ,original,2014-08-20 11:44:01+00:00
other,"Wrote about #Ferguson by letting others (James Baldwin, KRS-One, more) do the talking about Fergusons past/present. http://t.co/xBKlIm1UIC",original,2014-08-20 14:05:37+00:00
other,.@LailaLalami on @npratc reading #JamesBaldwin as #Ferguson seethes: http://t.co/nPsK3bsds4,original,2014-08-20 17:22:30+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate  | Neon Tommy http://t.co/NkYtQtzmhd via @NeonTommy,original,2014-12-03 23:01:36+00:00
other,"A section of W.128th Street, between Madison and Fifth, named after legendary writer James Baldwin #blacklivesmatter http://t.co/ll4imYPedb",original,2014-12-09 23:21:26+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/DxG9ZwmZAr,original,2014-12-03 22:42:55+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/DLhu5uC4Hm,original,2014-12-03 22:43:02+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/NN9tdagJHq,original,2014-12-03 22:51:28+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/rrz591pPLx,original,2014-12-04 04:17:01+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/H5Wvv3LDWn,original,2014-12-04 10:48:50+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/CyFLd5FiGo,original,2014-12-04 16:21:56+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death - http://t.co/0V1ucIETez,original,2014-12-04 08:54:10+00:00
other,Virtual Readings For Baltimores Freddie Gray #Baltimore #CounteeCullen #FreddieGraysdeath #JamesBaldwin #socialmedia http://t.co/tygi5SPSdM,original,2015-04-29 03:16:33+00:00
other,"Ferguson, Mike Brown and James Baldwin by @Okwonga - http://t.co/eaZxhJyiX8",original,2014-08-15 08:59:10+00:00
other,#Ferguson 'n #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate 25 Years After His Death: http://t.co/wWXR0W90bs via @neontommy,original,2014-12-04 06:53:14+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/IuGMPIzptn,original,2014-12-04 12:30:11+00:00
other,#Ferguson & #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate http://t.co/L4F2W8fimj via @NeonTommy,original,2014-12-04 15:09:42+00:00
other,MTV Taps James Baldwin To Address Ferguson At VMAs http://t.co/Yh3VKEnMkZ #VMAs #Ferguson,original,2014-08-24 20:55:14+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death |  http://t.co/th0O8cmmmJ,original,2014-12-04 06:16:02+00:00
other,"""#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate..."" Jessica Moulite: http://t.co/DSxFRPrFEW (TY @plthomasEdD)",original,2014-12-03 11:01:36+00:00
other,When Harlem Was Occupied Territory - The Daily Beast http://t.co/EBFkpDzxRL #JamesBaldwin #BlackLivesMatter,original,2015-01-21 16:08:17+00:00
other,White Supremacy ... http://t.co/GxzlbCUkkK #BlackLivesMatter #ChrisRock #JamesBaldwin #WhiteSupremacy http://t.co/JJ1dCyTHBI,original,2014-12-16 18:26:43+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/iuuSqprAZZ,original,2014-12-02 23:54:37+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/5kRGWuCmf1,original,2014-12-03 19:07:03+00:00
other,@DanteB4u I see you: http://t.co/slZtqDBhKG #JamesBaldwin #Ferguson #BlackLivesMatter #blacklitchat #Blackedu #edchat #FergusonSyllabus,original,2014-12-02 21:04:42+00:00
other,#Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/nuauv8bTSm via @neontommy,original,2014-12-04 01:34:16+00:00
other,#Ferguson &#Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/aeEmSrnZX2,original,2014-12-04 01:09:53+00:00
other,I love #JamesBaldwin. His writing on #BlackLivesMatter issues decades ago: http://t.co/HNO4xYLXrg @sonofbaldwin,original,2015-02-12 14:05:15+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/WGJHGbLsp4,original,2014-12-06 12:34:35+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years... http://t.co/8pSzXQ49Bl,original,2014-12-03 22:32:30+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Yrs http://t.co/QSX7A04bjl via @neontommy,original,2014-12-02 17:53:32+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death | http://t.co/G6mERjOsal,original,2014-12-04 05:51:58+00:00
other,White Supremacy ... http://t.co/DeQ6KqPvzt #BlackLivesMatter #ChrisRock #JamesBaldwin #WhiteSupremacy http://t.co/fGWwuACueI,original,2014-12-16 18:26:36+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/WGJHGbLsp4,original,2014-12-05 12:53:03+00:00
other,"#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death,… http://t.co/IbE6vsQlI6",original,2014-12-02 18:24:48+00:00
other,"How #Ferguson, #BlackLivesMatter, & James Baldwin go together: http://t.co/mxCEt22ZlQ via @JessicaTalks",original,2014-12-02 23:15:18+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/IfgtStGOm4,original,2014-12-02 20:52:18+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death: http://t.co/TzqZ5xrHxK,original,2014-12-04 00:03:05+00:00
other,#Ferguson and #Blacklivesmatter Illustrate How James Baldwin’s Words Resonate More Than 25 Years After His Death http://t.co/iuuSqprAZZ,original,2014-12-03 14:18:10+00:00
other,James Baldwin's words still resonate today. http://t.co/8be3nJihuU #Ferguson #BlackLivesMatter,original,2014-12-04 18:47:19+00:00
other,White Supremacy ... http://t.co/ETvae5M8rY #BlackLivesMatter #ChrisRock #JamesBaldwin #WhiteSupremacy http://t.co/6IBbajJVZH,original,2014-12-16 18:26:39+00:00
other,Essence & Jihaari art combines James Baldwin & names of victims of #policebrutality http://t.co/WBG3yU87zY #blacklivesmatter @BerkeleyAfroAm,original,2014-12-24 02:23:41+00:00
other,"""What I learned from James Baldwin’s writing about race, in a moment of great anger:"" http://t.co/g0kaiIEA37 #Ferguson #ICantBreathe",original,2014-12-17 17:18:21+00:00
other,White Supremacy ... http://t.co/ZSwd067kgp #BlackLivesMatter #ChrisRock #JamesBaldwin #WhiteSupremacy http://t.co/bEr8fixHeH,original,2014-12-16 18:26:41+00:00
other,"The great @bowersmusik -live at @BlueNoteNYC Oct 15- spoke with @checkoutjazz about James Baldwin, #Ferguson + more: http://t.co/rf7KUCOAyl",original,2014-10-10 15:43:32+00:00
other,"Yes, James Baldwin is a guide for dark times. http://t.co/3jRbJpcuw4 @thenation #BlackLivesMatter #ICantBreathe",original,2015-01-26 18:26:01+00:00
other,#Ferguson is Haunted by James Baldwin http://t.co/jgIEHB3aND,original,2014-12-05 19:02:32+00:00
other,#Ferguson is Haunted by James Baldwin. http://t.co/LLoCyhPoz4 via @sharethis,original,2014-12-07 00:31:44+00:00
other,#Ferguson is haunted by James Baldwin. http://t.co/lAHNR7AD6K,original,2014-12-05 14:39:10+00:00
