UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2019,2,32,If Beale Street Could Talk,James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2019,3,15,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2019,3,20,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2019,3,25,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,3,36,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,3,19,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Physical,Horizon,BOOK,2019,3,48,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,EBOOK,2019,4,30,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2019,4,22,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,4,38,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,4,16,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2019,4,15,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2019,4,45,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,EBOOK,2019,5,28,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,5,39,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2019,5,63,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2019,5,19,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2019,5,38,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,AUDIOBOOK,2019,5,15,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2019,6,40,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2019,6,21,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Physical,Horizon,BOOK,2019,6,16,Giovanni's Room,James Baldwin,"Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Vintage International,",2013
Physical,Horizon,BOOK,2019,6,37,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,AUDIOBOOK,2019,6,39,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2019,6,20,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2019,6,18,Go tell it on the mountain / James Baldwin.,James Baldwin,"African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction, Harlem New York N Y Drama","Vintage International,",2013
Digital,OverDrive,AUDIOBOOK,2019,6,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2019,6,25,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,7,35,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,7,39,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,AUDIOBOOK,2019,7,35,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2019,7,18,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2019,7,28,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
